Target gene (OFFICIAL_GENE_NAME)	TF (OFFICIAL_TF_CODING_GENE_NAME)	REFERENCES	SPECIES	ACCESSION #S
INSIG2	NR1H3	Pubmed	Rattus norvegicus	;15637161
PCK2	NR1H3	Pubmed	Homo sapiens	;19258656
PLTP	NR1H3	Pubmed	Homo sapiens	;19258656
SCD	NR1H3	Pubmed	Mus musculus;	;19066317
SREBF1	NR1H3	Pubmed	Homo sapiens	;19258656
FABP6	NR1H4	pazar;trrd	Mus musculus	
NR0B2	NR1H4	pazar	Mus musculus	
OXT	NR2C2	pazar	Homo sapiens;	;
PAX2	NR2E1	pazar	Mus musculus	
PLCE1	NR2E1	pazar	Mus musculus	
PTEN	NR2E1	pazar	Homo sapiens	
ACADM	NR2F1	trrd	Homo sapiens;	S2311;
AGT	NR2F1	trrd	Homo sapiens;	S6269;
APOA2	NR2F1	trrd	Homo sapiens;	S2774;
APOA4	NR2F1	trrd	Homo sapiens;	S5954;
APOC3	NR2F1	trrd	Homo sapiens;	S1303;
CPT2	NR2F1	trrd	Homo sapiens;	S8879;
CYP17A1	NR2F1	trrd	Rattus norvegicus	S3972;
CYP19A1	NR2F1	trrd	Homo sapiens;	S4316;
EPO	NR2F1	trrd	Homo sapiens;	S1401;
HMGCS2	NR2F1	pazar	Homo sapiens	
INS2	NR2F1	trrd	Rattus norvegicus	S6593;
KLK15	NR2F1	trrd	Rattus norvegicus	S6998;
LHCGR	NR2F1	trrd	Homo sapiens;	S7949;
NES	NR2F1	Pazar	Homo sapiens	pazar_pleiades_20100814
NR0B1	NR2F1	trrd	Mus musculus;	S3294;
OXT	NR2F1	Pazar	Rattus norvegicus	pazar_pleiades_20100814
PCK1	NR2F1	trrd	Rattus norvegicus	S7474;
PCP2	NR2F1	pazar	Mus musculus	
RXRG	NR2F1	trrd	Homo sapiens;	S5047;
TF	NR2F1	Pubmed	Rattus norvegicus; Homo sapiens	;8706718; 7610049
ACADM	NR2F2	pazar	Homo sapiens	
APOA1	NR2F2	pazar	Homo sapiens	
APOB	NR2F2	pazar	Homo sapiens	
CYP7A1	NR2F2	trrd	Rattus norvegicus	S2154;
HNF4A	NR2F2	trrd	Homo sapiens;	S6867;
HPX	NR2F2	pazar	Rattus norvegicus	
INS2	NR2F2	pazar	Rattus norvegicus	
LTF	NR2F2	pazar	Mus musculus	
OXT	NR2F2	Pazar	Mus musculus;Mus musculus;;;;	pazar_pleiades_20100814
PCK1	NR2F2	trrd	Rattus norvegicus	S7474;
PCK1	NR2F2	trrd	Rattus norvegicus	S7474;
PKLR	NR2F2	pazar	Homo sapiens	
POU5F1	NR2F2	pazar	Mus musculus	
RBP2	NR2F2	pazar	Rattus norvegicus	
APOA1	NR2F6	trrd	Homo sapiens;	S5742;
APOC2	NR2F6	trrd	Homo sapiens;	S7078;
LHCGR	NR2F6	trrd	Homo sapiens;	S7950;
AFP	NR3C1	NfiRegulomeDB	Rattus norvegicus	;
CRH	NR3C1	pazar	Homo sapiens;	;
HTR1A	NR3C1	Pazar	Rattus norvegicus	pazar_pleiades_20100814
MAOA	NR3C1	pazar	Homo sapiens	
OXT	NR3C1	pazar	Rattus norvegicus	
WAP	NR3C1	NfiRegulomeDB	Rattus norvegicus	;
HTR1A	NR3C2	Pazar	Rattus norvegicus	pazar_pleiades_20100814
E2F1	NR4A1	Pubmed	Homo sapiens	;12947120
BGLAP2	NR4A2	pazar	Rattus norvegicus	
BGLAP	NR4A2	Pazar	rattus_norvegicus;;;;;	pazar_pleiades_20100814
CYP11B2	NR4A2	pazar	Homo sapiens	pazar_pleiades_20100814
SLC6A3	NR4A2	pazar	Homo sapiens;;;;;	pazar_pleiades_20100814
SPP1	NR4A2	Pubmed	Homo sapiens; Mus musculus	;14988426
TH	NR4A2	pazar	Homo sapiens	pazar_pleiades_20100814
AKR1B7	NR5A1	NfiRegulomeDB	Mus musculus;	;
AMH	NR5A1	Pubmed	Homo sapiens; Mus musculus; Rattus norvegicus	S7501; S3702; 10677509
AMHR2	NR5A1	Pubmed	Homo sapiens; Mus musculus	;12724325
CYP11A1	NR5A1	Pubmed	Homo sapiens;	S2674; 8026494
CYP11B1	NR5A1	trrd;	Mus musculus;	S5191;
CYP17A1	NR5A1	NfiRegulomeDB	Homo sapiens	;
CYP19A1	NR5A1	trrd;	Homo sapiens;	S3313;
CYP21A2	NR5A1	trrd;	Homo sapiens;	S8338;
FSHR	NR5A1	trrd;	Rattus norvegicus; Mus musculus	S8344; S5490;
GNRHR	NR5A1	trrd;	Mus musculus; Rattus norvegicus	S3754; S5495;
HSD3B2	NR5A1	trrd;	Homo sapiens;	S3992;
INHA	NR5A1	Pubmed	Mus musculus; Homo sapiens	;12732619;12861022
LHB	NR5A1	Pubmed	Homo sapiens;	;11518799
MC2R	NR5A1	trrd;	Homo sapiens;	S4366;
NR0B1	NR5A1	trrd;	Mus musculus; Homo sapiens	S4304; S4796;
NR0B2	NR5A1	trrd;	Mus musculus;	S7265;
OXT	NR5A1	trrd	Bt	S3062
POU5F1	NR5A1	Pubmed	Homo sapiens; Mus musculus	S8071;17226773; 
PRLR	NR5A1	trrd;	Rattus norvegicus	S3063;
SCARB1	NR5A1	trrd;	Homo sapiens;	S8880;
SRY	NR5A1	trrd;	Homo sapiens;	S8638;
STAR	NR5A1	Pubmed	Rattus norvegicus	;11250933
OXT	NR6A1	pazar	Rattus norvegicus	
RHO	NRL	pazar	Rattus norvegicus	
CKM	NVL	pazar	Mus musculus	
TNNI1	NVL	pazar	Homo sapiens	
SERPINE1	OLIG1	Pazar	Homo sapiens	pazar_pleiades_20100814
SMAD7	OLIG1	pazar	Homo sapiens;	;
FOXA2	ONECUT1	pazar	Rattus norvegicus	
HNF4A	ONECUT1	pazar;trrd	Homo sapiens	
LCT	ONECUT1	pazar	Rattus norvegicus	
ALB	PAG1	Pubmed	Homo sapiens	;15598887
DIABLO	PAWR	Pubmed	Homo sapiens	;18660514
PDGFRA	PAX1	TRED	Homo sapiens	
VHL	PAX1	TRED	Homo sapiens	
CRHR1	PAX2	TRED	Mus musculus	
PAX5	PAX2	TRED	Mus musculus	
SFRP2	PAX2	TRED	Mus musculus	
BCL2L1	PAX3	TRED	Homo sapiens	
BMP4	PAX3	TRED	Mus musculus	
DCT	PAX3	Pubmed	Homo sapiens;	;1999537;
MET	PAX3	TRED	Mus musculus	
MYOD1	PAX3	Pubmed	Mus musculus;	;18854138;
RNMT	PAX3	TRED	Homo sapiens	
INS1	PAX4	TRED	Rattus norvegicus	
INS	PAX4	TRED	Homo sapiens	
SST	PAX4	TRED	Rattus norvegicus	
CD19	PAX5	trrd;TRED	Homo sapiens	
FCER2	PAX5	TRED	Homo sapiens	
RAG2	PAX5	pazar;trrd;TRED	Mus musculus	
RB1	PAX5	TRED	Homo sapiens	
TP53	PAX5	TRED	Homo sapiens	
ALDOC	PAX6	TRED	Rattus norvegicus	
CRYAA	PAX6	trrd;TRED	Mus musculus	
CRYGF	PAX6	trrd;TRED	Mus musculus	
GCK	PAX6	TRED	Homo sapiens	
INS1	PAX6	TRED	Rattus norvegicus	
ITGA5	PAX6	TRED	Homo sapiens	
ITGB1	PAX6	TRED	Homo sapiens	
L1CAM	PAX6	TRED	Mus musculus	
MITF	PAX6	TRED	Homo sapiens	
MMP9	PAX6	TRED	Mus musculus	
OLFM3	PAX6	Pubmed	Mus musculus	;16115881
PALM	PAX6	TRED	Mus musculus	
PAX6	PAX6	Pubmed	Homo sapiens	;17251190
PDHX	PAX6	TRED	Homo sapiens	
SOX2	PAX6	Pubmed	Mus musculus	;18287938
SST	PAX6	TRED	Rattus norvegicus	
TFF3	PAX6	TRED	Mus musculus	
MYOD1	PAX7	Pubmed	Mus musculus;	;18854138;
NCAM1	PAX8	TRED	Mus musculus	
NKX2-1	PAX8	TRED	Homo sapiens	
SLC5A5	PAX8	Pubmed	Mus musculus;Rattus norvegicus	;14623893
TG	PAX8	pazar;TRED	Homo sapiens; Mus musculus	
TP53	PAX8	TRED	Homo sapiens	
WBP2	PAX8	TRED	Mus musculus	
WT1	PAX8	pazar;trrd	Mus musculus	
NANOG	PBX1	Pubmed	Homo sapiens	;19522013
ADA	PDX1	NfiRegulomeDB	Homo sapiens	;
ELA1	PDX1	trrd	Rattus norvegicus	S8592;
FOXA2	PDX1	pazar	Mus musculus	
GCK	PDX1	trrd	Homo sapiens;	S8591;
IAPP	PDX1	trrd	Homo sapiens;	S7101;
IL10	PDX1	pazar	Homo sapiens	
INS2	PDX1	trrd	Rattus norvegicus	S6589;
INS2	PDX1	trrd	Rattus norvegicus	S6589;
INS	PDX1	Pubmed	Homo sapiens	;11428722
PDX1	PDX1	trrd	Homo sapiens;	S8028;
SLC2A2	PDX1	trrd	Mus musculus;	S8308;
ALDOA	PEG10	pazar	Homo sapiens	
BCL2L1	PGR	TRED	Homo sapiens	
FKBP5	PGR	TRED	Mus musculus	
GNRH1	PGR	TRED	Rattus norvegicus	
HSD17B2	PGR	TRED	Homo sapiens	
IGFBP1	PGR	TRED	Homo sapiens	
IHH	PGR	TRED	Homo sapiens	
KLF5	PGR	Pubmed	Mus musculus	;21566082
KLK3	PGR	TRED	Homo sapiens	
MYC	PGR	TRED	Homo sapiens	
NOL3	PGR	TRED	Homo sapiens	
OVGP1	PGR	TRED	Homo sapiens	
PAEP	PGR	TRED	Homo sapiens	
PTGER2	PGR	TRED	Mus musculus	
SENP2	PGR	TRED	Mus musculus	
SRD5A2	PGR	TRED	Mus musculus	
SUMO1	PGR	TRED	Mus musculus	
VEGFA	PGR	TRED	Homo sapiens	
DBH	PHOX2A	Pazar	Homo sapiens;Rattus norvegicus;Homo sapiens;;;	pazar_pleiades_20100814
PHOX2A	PHOX2A	pazar	Homo sapiens	
SLC6A2	PHOX2A	Pazar	Homo sapiens	pazar_pleiades_20100814
DBH	PHOX2B	pazar;trrd	Homo sapiens;Rattus norvegicus	
PHOX2A	PHOX2B	Pazar	Homo sapiens	pazar_pleiades_20100814
PHOX2B	PHOX2B	Pazar	Homo sapiens	pazar_pleiades_20100814
TLX2	PHOX2B	pazar	Homo sapiens;	;
FSHB	PITX1	Pubmed	Homo sapiens; Mus musculus	;18339718
DLX2	PITX2	Pazar	Mus musculus;Mus musculus;;;;	pazar_pleiades_20100814
FSHB	PITX2	Pubmed	Homo sapiens; Mus musculus	;18339718
SLC6A3	PITX3	pazar	Homo sapiens	
ITPR1	PLSCR1	Pazar	Homo sapiens	pazar_pleiades_20100814
ABL1	POU1F1	TRED	Mus musculus	
AKR1C1	POU1F1	TRED	Homo sapiens	
AKR1C2	POU1F1	TRED	Homo sapiens	
AKR1C3	POU1F1	TRED	Homo sapiens	
ALDOC	POU1F1	TRED	Homo sapiens	
ANDPRO	POU1F1	TRED	Rattus norvegicus	
C19ORF51	POU1F1	TRED	Homo sapiens	
C4A	POU1F1	TRED	Mus musculus	
CCND1	POU1F1	TRED	Homo sapiens	
CCR2	POU1F1	TRED	Homo sapiens	
CCR5	POU1F1	TRED	Homo sapiens	
CD79A	POU1F1	TRED	Mus musculus	
CD79B	POU1F1	TRED	Mus musculus	
CDX2	POU1F1	TRED	Mus musculus	
CSH1	POU1F1	NfiRegulomeDB	Homo sapiens	;
CXCR5	POU1F1	TRED	Homo sapiens	
CYP27B1	POU1F1	TRED	Homo sapiens	
EIF4G2	POU1F1	TRED	Homo sapiens	
ETS1	POU1F1	TRED	Homo sapiens	
FGL2	POU1F1	TRED	Homo sapiens	
GADD45A	POU1F1	TRED	Homo sapiens	
GCM1	POU1F1	TRED	Homo sapiens	
GH1	POU1F1	pazar	Mus musculus	
GIPR	POU1F1	TRED	Rattus norvegicus	
GNRH1	POU1F1	trrd;TRED	Mus musculus; Rattus norvegicus	
GNRHR	POU1F1	pazar	Rattus norvegicus	
GTF2B	POU1F1	TRED	Homo sapiens	
HCFC1	POU1F1	TRED	Homo sapiens	
HIST2H2BE	POU1F1	TRED	Homo sapiens	
IL2	POU1F1	pazar;trrd;TRED	;Homo sapiens;Mus musculus;;Mus musculus;	
IL3	POU1F1	pazar;trrd	Homo sapiens;Mus musculus	
IL4	POU1F1	TRED	Homo sapiens	
IL5	POU1F1	TRED	Homo sapiens	
ITGAX	POU1F1	TRED	Homo sapiens	
LCT	POU1F1	pazar	Homo sapiens	
LPL	POU1F1	trrd;TRED	Homo sapiens	
MS4A2	POU1F1	TRED	Homo sapiens	
MTCH1	POU1F1	TRED	Homo sapiens	
MYC	POU1F1	TRED	Homo sapiens	
MYF5	POU1F1	TRED	Mus musculus	
NAT1	POU1F1	TRED	Homo sapiens	
NKX2-1	POU1F1	TRED	Homo sapiens	
NOL3	POU1F1	TRED	Homo sapiens	
PCP2	POU1F1	Pazar	Mus musculus;Mus musculus;;;;	pazar_pleiades_20100814
PGDS	POU1F1	TRED	Homo sapiens	
PLAU	POU1F1	TRED	Homo sapiens	
POU1F1	POU1F1	NfiRegulomeDB	Homo sapiens	;
POU2AF1	POU1F1	TRED	Homo sapiens	
PRL	POU1F1	pazar;trrd	Homo sapiens	
PRRX1	POU1F1	TRED	Mus musculus	
PTGDS	POU1F1	TRED	Homo sapiens	
REL	POU1F1	TRED	Mus musculus	
RRM2B	POU1F1	TRED	Homo sapiens	
SCNN1B	POU1F1	TRED	Rattus norvegicus	
SFTPA1	POU1F1	TRED	Homo sapiens	
SLC38A6	POU1F1	TRED	Homo sapiens	
SLC6A2	POU1F1	TRED	Homo sapiens	
SLC9A3	POU1F1	TRED	Rattus norvegicus	
SNRPA	POU1F1	TRED	Mus musculus	
SNRPB	POU1F1	TRED	Mus musculus	
SPI1	POU1F1	TRED	Mus musculus	
SPP1	POU1F1	TRED	Homo sapiens	
SPRR2A	POU1F1	TRED	Homo sapiens	
ST6GAL1	POU1F1	TRED	Homo sapiens	
TFAP2A	POU1F1	NfiRegulomeDB	Homo sapiens	
TFPI2	POU1F1	TRED	Homo sapiens	
THRB	POU1F1	TRED	Mus musculus	
TLR4	POU1F1	TRED	Homo sapiens	
TNF	POU1F1	TRED	Homo sapiens	
TRA@	POU1F1	TRED	Homo sapiens	
TXNRD1	POU1F1	TRED	Homo sapiens	
VCAM1	POU1F1	TRED	Homo sapiens	
VIP	POU1F1	pazar	Homo sapiens	
VWF	POU1F1	trrd;TRED	Homo sapiens	
GABRA6	POU2F1	NfiRegulomeDB	Mus musculus	
RPE65	POU2F1	NfiRegulomeDB	Mus musculus;	;
TFAP2A	POU2F1	NfiRegulomeDB	Homo sapiens;	;
UGT2B7	POU2F1	Pubmed	Homo sapiens	;10779377
CCR5	POU2F2	TRED	Homo sapiens	
CD79A	POU2F2	TRED	Homo sapiens	
CD79B	POU2F2	TRED	Mus musculus	
ETS1	POU2F2	TRED	Homo sapiens	
GTF2B	POU2F2	TRED	Homo sapiens	
HLA-DRA	POU2F2	TRED	Homo sapiens	
IL2	POU2F2	trrd;TRED	Mus musculus	
IL4	POU2F2	TRED	Homo sapiens	
IL5	POU2F2	TRED	Homo sapiens	
ITGAX	POU2F2	TRED	Homo sapiens	
MS4A2	POU2F2	TRED	Homo sapiens	
MYC	POU2F2	TRED	Homo sapiens	
POU2AF1	POU2F2	TRED	Homo sapiens	
REL	POU2F2	TRED	Homo sapiens	
SPI1	POU2F2	TRED	Mus musculus	
SPP1	POU2F2	TRED	Homo sapiens	
TGFA	POU2F2	TRED	Rattus norvegicus	
THRB	POU2F2	TRED	Mus musculus	
TRA@	POU2F2	TRED	Homo sapiens	
VIP	POU2F2	pazar	Homo sapiens	
CDK11B	POU2F3	Pubmed	Homo sapiens	;15656972
SPRR2A	POU2F3	TRED	Homo sapiens	
ABL1	POU3F1	TRED	Mus musculus	
GNRH1	POU3F1	trrd;TRED	Rattus norvegicus; Homo sapiens	
SOX2	POU3F1	Pubmed	Mus musculus	;12136102
GNRH1	POU3F2	TRED	Homo sapiens	
KCNN3	POU3F2	TRED	Homo sapiens	
NES	POU3F2	pazar	Mus musculus	
SERPINE2	POU3F2	TRED	Mus musculus	
NES	POU3F3	Pazar	Mus musculus	
SERPINE2	POU3F3	TRED	Mus musculus	
DRD1	POU3F4	Pazar	Homo sapiens	pazar_pleiades_20100814
ABL1	POU5F1	TRED	Mus musculus	
DDC	POU5F1	TRED	Homo sapiens	
FGF4	POU5F1	Pubmed	Mus musculus;Mus musculus	;7590241
GADD45A	POU5F1	TRED	Homo sapiens	
HMGB1	POU5F1	TRED	Homo sapiens	
HMGB2	POU5F1	TRED	Homo sapiens	
KIT	POU5F1	TRED	Mus musculus	
NANOG	POU5F1	Pubmed	Homo sapiens	;15860457
POU5F1	POU5F1	Pubmed	Mus musculus;Mus musculus	;15557334
SGPP1	POU5F1	TRED	Mus musculus	
SOX2	POU5F1	Pubmed	Mus musculus;Mus musculus	;12136102
SPP1	POU5F1	Pubmed	Mus musculus;Mus musculus	;9649510
UTF1	POU5F1	Pubmed	Mus musculus;Mus musculus	;10409735
ABCD2	PPARA	Pubmed	Mus musculus	;14654352
AIP	PPARA	TRED	Mus musculus	
AURKAIP1	PPARA	TRED	Mus musculus	
CITED2	PPARA	TRED	Mus musculus	
CYP4A14	PPARA	Pubmed	Mus musculus;	;18189363
CYP4A31	PPARA	Pubmed	Rattus norvegicus	;18222077;
CYP7A1	PPARA	TRED	Mus musculus	
ELOVL5	PPARA	Pubmed	Homo sapiens; Mus musculus	;16564093;
ELOVL6	PPARA	Pubmed	Homo sapiens; Mus musculus	;16564093;
FABP3	PPARA	Pubmed	Homo sapiens; Mus musculus	;16936205;
FADS1	PPARA	Pubmed	Homo sapiens; Mus musculus	;11792729;
FADS2	PPARA	Pubmed	Homo sapiens;	;15189125;
HSP90AB1	PPARA	TRED	Mus musculus	
LPL	PPARA	TRED	Mus musculus	
MBP	PPARA	pazar	Mus musculus	
MLYCD	PPARA	TRED	Rattus norvegicus	
MYL2	PPARA	TRED	Rattus norvegicus	
NFKBIA	PPARA	TRED	Mus musculus	
PANK1	PPARA	Pubmed	Homo sapiens;	;14523052;
RBP2	PPARA	TRED	Rattus norvegicus	
SLC22A5	PPARA	Pubmed	Rattus norvegicus	;18309235;
SREBF1	PPARA	Pubmed	Mus musculus	;1273033
ANGPTL4	PPARD	TRED	Mus musculus	
CPT1B	PPARD	TRED	Homo sapiens	
GADD45A	PPARD	TRED	Homo sapiens	
GADD45B	PPARD	TRED	Homo sapiens	
LIPA	PPARD	TRED	Homo sapiens	
LPL	PPARD	TRED	Mus musculus	
MED1	PPARD	TRED	Mus musculus	
NCOA1	PPARD	TRED	Mus musculus	
NCOA2	PPARD	TRED	Mus musculus	
NCOR2	PPARD	TRED	Mus musculus	
NRIP1	PPARD	TRED	Mus musculus	
RELA	PPARD	TRED	Homo sapiens	
SERPINE1	PPARD	TRED	Homo sapiens	
YWHAE	PPARD	Pazar	Homo sapiens	pazar_pleiades_20100814
ANGPTL4	PPARG	TRED	Mus musculus	
APOE	PPARG	TRED	Homo sapiens	
ATP2A2	PPARG	TRED	Rattus norvegicus	
BCMO1	PPARG	TRED	Mus musculus	
C1QTNF3	PPARG	TRED	Mus musculus	
CD36	PPARG	TRED	Homo sapiens	
CDKN1A	PPARG	TRED	Homo sapiens	
CEBPA	PPARG	Pubmed	Mus musculus	;16431920
CPT1B	PPARG	TRED	Homo sapiens	
CYP19A1	PPARG	TRED	Homo sapiens	
CYP27A1	PPARG	TRED	Homo sapiens	
DBI	PPARG	TRED	Mus musculus	
EGFR	PPARG	TRED	Homo sapiens	
ESR1	PPARG	TRED	Homo sapiens	
FABP4	PPARG	TRED	Mus musculus	
FABP5	PPARG	TRED	Mus musculus	
GADD45A	PPARG	TRED	Homo sapiens	
GADD45B	PPARG	TRED	Homo sapiens	
GCK	PPARG	TRED	Homo sapiens	
LIPA	PPARG	TRED	Homo sapiens	
LPL	PPARG	TRED	Mus musculus	
MED1	PPARG	TRED	Homo sapiens	
MMP9	PPARG	TRED	Homo sapiens	
NR1D1	PPARG	Pubmed	Homo sapiens;Rattus norvegicus	;12821652
NR1H3	PPARG	TRED	Mus musculus	
PC	PPARG	Pubmed	Mus musculus	;15917242
POU2F1	PPARG	TRED	Homo sapiens	
PPARGC1A	PPARG	TRED	Homo sapiens	
PTGER2	PPARG	TRED	Homo sapiens	
PTGS2	PPARG	TRED	Homo sapiens	
RARB	PPARG	TRED	Mus musculus	
RETN	PPARG	Pubmed	Mus musculus	;19126543
SAT1	PPARG	TRED	Mus musculus	
SENP2	PPARG	TRED	Mus musculus	
SERPINE1	PPARG	TRED	Homo sapiens	
SLC27A1	PPARG	TRED	Mus musculus	
SLC2A2	PPARG	TRED	Rattus norvegicus	
SMAD3	PPARG	TRED	Homo sapiens	
SUMO1	PPARG	TRED	Mus musculus	
UCP1	PPARG	TRED	Mus musculus	
UGT1A10	PPARG	TRED	Homo sapiens	
LDLR	PPARGC1A	Pubmed	Homo sapiens	;19322023
CCNE1	PROX1	Pubmed	Mus musculus	;21040746
CKM	PRRX1	pazar	Mus musculus	
CPA1	PTF1A	pazar	Mus musculus	
POMC	PTX3	Pazar	Rattus norvegicus	pazar_pleiades_20100814
TH	PTX3	Pazar	Mus musculus;Rattus norvegicus;;;;	pazar_pleiades_20100814
ABCC2	RARA	pazar;Pubmed	Mus musculus; Rattus norvegicus	12145812
ADRB1	RARA	pazar;Pubmed	Homo sapiens; Mus musculus	9448745
AKR1B1	RARA	TRED	Homo sapiens	
ALDH1A1	RARA	pazar;Pubmed	Homo sapiens;Rattus norvegicus	21262915
AMH	RARA	TRED	Homo sapiens	
APOC3	RARA	pazar;Pubmed	Homo sapiens; Mus musculus	9691099
AREG	RARA	TRED	Homo sapiens	
AR	RARA	TRED	Homo sapiens	
BTG2	RARA	pazar	Homo sapiens	
CALCA	RARA	TRED	Rattus norvegicus	
CASP9	RARA	pazar	Homo sapiens	
CEBPE	RARA	pazar;Pubmed	Homo sapiens; Mus musculus	14576045
CETP	RARA	TRED	Homo sapiens	
CHAT	RARA	TRED	Mus musculus	
CRABP2	RARA	TRED	Homo sapiens	
CRYAB	RARA	TRED	Mus musculus	
CTNNB1	RARA	TRED	Rattus norvegicus	
CYP7A1	RARA	TRED	Rattus norvegicus	
ETS1	RARA	TRED	Homo sapiens	
FOXA1	RARA	pazar	Mus musculus	
GADD45A	RARA	TRED	Homo sapiens	
GADD45B	RARA	TRED	Homo sapiens	
GPRC5A	RARA	pazar	Homo sapiens	
H1F0	RARA	TRED	Mus musculus	
HNF4A	RARA	TRED	Homo sapiens	
HOXA4	RARA	pazar;Pubmed	Homo sapiens; Mus musculus	9636177
HOXD4	RARA	pazar;PubMed;;;;	Homo sapiens;Mus musculus	7908827
MIF	RARA	TRED	Homo sapiens	
MPO	RARA	pazar;Pubmed	Homo sapiens; Mus musculus	16675706
MUC5AC	RARA	TRED	Homo sapiens	
MYH6	RARA	TRED	Homo sapiens	
NCOA1	RARA	TRED	Homo sapiens	
NCOA3	RARA	TRED	Homo sapiens	
NEDD9	RARA	TRED	Homo sapiens	
NES	RARA	pazar;Pubmed	Homo sapiens; Mus musculus	10222142
NKX2-1	RARA	TRED	Homo sapiens	
OXT	RARA	Pazar	Rattus norvegicus	pazar_pleiades_20100814
PCK1	RARA	trrd;TRED	Rattus norvegicus; Homo sapiens	
PCP2	RARA	pazar	Mus musculus	
PLAU	RARA	TRED	Homo sapiens	
PNRC1	RARA	TRED	Homo sapiens	
POU5F1	RARA	Pubmed	Mus musculus	;20564199
RAI1	RARA	pazar	Homo sapiens	
RARA	RARA	TRED	Mus musculus	
RARB	RARA	pazar;trrd;TRED	Homo sapiens; Mus musculus	
RARRES1	RARA	pazar	Homo sapiens	
RARRES3	RARA	pazar	Homo sapiens	
RBP1	RARA	trrd	Mus musculus	S7561
RBP2	RARA	pazar;TRED	Mus musculus	
S100A8	RARA	TRED	Homo sapiens	
S100A9	RARA	TRED	Homo sapiens	
SCD	RARA	TRED	Homo sapiens	
SFTPB	RARA	TRED	Homo sapiens	
SLC10A1	RARA	Pubmed	Rattus norvegicus	;14701722
SMPD1	RARA	TRED	Homo sapiens	
SMYD5	RARA	pazar	Homo sapiens	
STAT3	RARA	TRED	Homo sapiens	
TGFB1	RARA	TRED	Homo sapiens	
TGM1	RARA	TRED	Mus musculus	
UGT1A10	RARA	TRED	Homo sapiens	
AMH	RARB	TRED	Homo sapiens	
CETP	RARB	TRED	Homo sapiens	
CRABP2	RARB	TRED	Homo sapiens	
CRYAB	RARB	TRED	Mus musculus	
CTNNB1	RARB	TRED	Mus musculus	
H1F0	RARB	TRED	Mus musculus	
HDAC1	RARB	TRED	Homo sapiens	
HOXA1	RARB	TRED	Mus musculus	
HOXD4	RARB	pazar;PubMed;;;;	Homo sapiens;Mus musculus	7908827
JUN	RARB	TRED	Homo sapiens	
MIF	RARB	TRED	Homo sapiens	
NCOA1	RARB	TRED	Homo sapiens	
NCOA3	RARB	TRED	Homo sapiens	
NKX2-1	RARB	TRED	Homo sapiens	
NOS2	RARB	TRED	Rattus norvegicus	
NPDC1	RARB	TRED	Mus musculus	
OXT	RARB	pazar	Rattus norvegicus	
PCK1	RARB	TRED	Mus musculus	
PLAT	RARB	pazar;Pubmed	Homo sapiens	19538480
PNRC1	RARB	TRED	Homo sapiens	
PTGS2	RARB	TRED	Homo sapiens	
RARA	RARB	TRED	Mus musculus	
RARB	RARB	pazar;TRED	Homo sapiens; Mus musculus	
RARRES3	RARB	pazar;Pubmed	Homo sapiens	15850806
S100A8	RARB	TRED	Homo sapiens	
S100A9	RARB	TRED	Homo sapiens	
SFTPB	RARB	TRED	Homo sapiens	
TERT	RARB	TRED	Homo sapiens	
TGM1	RARB	TRED	Mus musculus	
TH	RARB	pazar	Rattus norvegicus	pazar_pleiades_20100814
TNF	RARB	TRED	Rattus norvegicus	
AMH	RARG	TRED	Homo sapiens	
CETP	RARG	TRED	Homo sapiens	
CRABP2	RARG	TRED	Homo sapiens	
CTNNB1	RARG	TRED	Rattus norvegicus	
CYP26A1	RARG	pazar	Mus musculus	
HOXA1	RARG	pazar;Pubmed	Homo sapiens	20231276
MIF	RARG	TRED	Homo sapiens	
NCOA1	RARG	TRED	Homo sapiens	
NCOA3	RARG	TRED	Homo sapiens	
NKX2-1	RARG	TRED	Homo sapiens	
PNRC1	RARG	TRED	Homo sapiens	
RARB	RARG	TRED	Homo sapiens	
RBP1	RARG	pazar	Homo sapiens	9234931
S100A8	RARG	TRED	Homo sapiens	
S100A9	RARG	TRED	Homo sapiens	
SFTPB	RARG	TRED	Homo sapiens	
HIST1H1B	RB1	Pubmed	Homo sapiens; Mus musculus; Rattus norvegicus	;10958660;
BRCA1	RBL1	Pubmed	Homo sapiens	;17106239
BRCA1	RBL2	Pubmed	Homo sapiens	;17106239
1110021J02RIK	RBPJ	Pubmed	Mus musculus;	;15979417
2210411K11RIK	RBPJ	Pubmed	Mus musculus;	;15979417
ACTA2	RBPJ	Pubmed	Homo sapiens; Mus musculus	;15987768;16741155;15634680
ADAM19	RBPJ	Pubmed	Mus musculus;	;10933396
AHSP	RBPJ	Pubmed	Mus musculus;	;15979417
ASCL1	RBPJ	Pubmed	Mus musculus; Homo sapiens	;9102301;9133387;11306509
ATM	RBPJ	Pubmed	Mus musculus;	;15979417
ATP5H	RBPJ	Pubmed	Mus musculus;	;15979417
BCL2	RBPJ	Pubmed	Mus musculus;	;9881968
BNIP3	RBPJ	Pubmed	Mus musculus;	;15979417
CASP3	RBPJ	Pubmed	Mus musculus;	;15068794
CD8A	RBPJ	Pubmed	Mus musculus;	;9881968
CDH2	RBPJ	Pubmed	Homo sapiens; Mus musculus	;16618740
CDKN1A	RBPJ	Pubmed	Homo sapiens;	;11306509;14670925
CDKN1B	RBPJ	Pubmed	Homo sapiens;	;11306509
CEBPA	RBPJ	Pubmed	Mus musculus;	;15226394
